Name (First and Last),What is your email address?,Are you in Trinity or Pratt?,What year are you? For this pilot program; we invite sophomores; juniors and seniors to participate. Since Blue Devil Buddies serves as the mentorship program for first-years; freshmen are not eligible to participate at this time.,Which ethnic/racial identity(s) do you most identify with?,Identity,What is your intended major? Select up to three. (You can select multiple choices by holding down the CTRL or COMMAND key on your computer) (If you are doing Program II; select the option(s) that are most similar to what you are studying),Do you intend to complete any minors? Select up to three. (You can select multiple choices by holding down the CTRL or COMMAND key on your computer),Do you intend to complete any certificates? Select up to three. (You can select multiple choices by holding down the CTRL or COMMAND key on your computer),What graduate degrees do you hope to pursue; if any?,The following is a list of regions where there are larger concentrations of active; engaged Duke alumni. If you're interested to moving to any of these locations after graduation; select up to three. This can be useful for generating matches; but matches will not be made based on location alone. (Select up to three).,What industries are you considering starting a career in/want to learn more about? Select up to three. If the industry you're looking for isn't listed; choose the most similar option.,In which areas are you looking for guidance or support? (Select up to three),What are your other interests? Select up to three.,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Ethnicity / Race,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Hobbies / Interests,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Major / Academic Interest,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Graduate Degree Interest,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Industry,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Location,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - First Generation,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Areas for guidance / support,NumStudent
Odio lacus,testemail@qemailserver.com,Pratt,Junior,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other,None,International Comparative Studies,Computer Science;Dance,Aerospace Engineering,MD (Doctor of Medicine);MBA (Masters of Business Administration);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MM (Master in Management),New York City/Tri-State area,Technology / Software / IT;Veterinary Medicine,Emotional support,Gaming,2,7,5,7,4,4,6,9,0
Molestie a,testemail@qemailserver.com,Pratt,Senior,Black or African-American;Hispanic or Latinx;Native American or American Indian;White,None,Computer Science,Italian Studies,Human Rights,PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MSN (Master of Science in Nursing);MSW (Master of Social Work);MPH (Master of Public Health);DVM (Doctor of Veterinary Medicine),Raleigh/Durham/Chapel Hill,Technology / Software / IT;Journalism,Skill development in a specific field;Networking and professional connections;Emotional support,Fashion,6,1,4,1,3,2,3,1,0
Cras ante ,testemail@qemailserver.com,Pratt,Sophomore,Hispanic or Latinx,None,Italian and European Studies;Linguistics;Sociology,Brazilian and Global Portuguese Studies,Global Development Engineering;Sustainability Engagement,MEM (Master of Environmental Management);MSW (Master of Social Work),New York City/Tri-State area;Nashville TN,Pharmaceutical,Networking and professional connections;Emotional support,Outdoor Activities/Hiking/Camping;Pets;Time with Friends,3,7,7,4,8,2,4,10,0
Proin; nun,testemail@qemailserver.com,Pratt,Senior,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Prefer not to answer,None,History,Education;German,East Asian Studies,None / Not listed;MD (Doctor of Medicine);MFA (Master of Fine Arts);MS (Master of Science);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Northern California;Nashville TN;India,Product / Product Management / UX Design;Religion,Personal growth and self-improvement,Volunteering;Music/Dance,9,4,3,7,4,5,7,9,0
Vestibulum,testemail@qemailserver.com,Pratt,Junior,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Italian and European Studies;Marine Science and Conservation;Psychology,Finance;Musical Theater,Robotics and Automation;Sustainability Engagement,MD (Doctor of Medicine);JD (Juris Doctorate/Law);MFA (Master of Fine Arts);MS (Master of Science);MEM (Master of Engineering Management);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPH (Master of Public Health);MM (Master in Management);DVM (Doctor of Veterinary Medicine),Pacific Northwest/Seattle;Miami/Central Florida/Tampa Bay,Agricultural and Food Science;Venture Capital;International Relations,Skill development in a specific field;Networking and professional connections;Personal growth and self-improvement,Gaming;Reading,4,5,0,7,6,7,8,6,0
Auctor don,testemail@qemailserver.com,Pratt,Sophomore,Black or African-American,None,Undecided,French Studies,Philosophy Politics and Economics;Sustainability Engagement,None / Not listed;PhD (Doctor of Philosophy);MA (Master of Arts);MS (Master of Science);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MPP (Masters of Public Policy);MSW (Master of Social Work);MPH (Master of Public Health);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Philadelphia and mid/southern NJ;Chicago IL;Nashville TN,Technology / Software / IT;Consulting and professional services,Academic success and study skills,Gardening;Traveling,8,9,9,10,9,2,7,1,0
Montes lec,testemail@qemailserver.com,Trinity,Junior,Asian or Pacific islander;Middle Eastern;White;Other,None,Biomedical Engineering;Gender Sexuality and Feminist Studies,Computational Biology and Bioinformatics,Philosophy Politics and Economics,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);MA (Master of Arts);Psy.D (Doctor of Psychology);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MHA (Master of Healthcare Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Raleigh/Durham/Chapel Hill,Nursing;Politics / Government and public sector;Dentistry,Networking and professional connections;Academic success and study skills,Fashion,5,7,6,1,8,3,1,7,0
Urna; pret,testemail@qemailserver.com,Trinity,Sophomore,Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;Prefer not to answer,None,History;Religious Studies,African and African American Studies;Gender Sexuality and Feminist Studies;Religious Studies,None;East Asian Studies,MD (Doctor of Medicine);MPP (Masters of Public Policy),Houston/Dallas/Austin;Richmond VA,Venture Capital,Personal growth and self-improvement,Traveling;Movies/TV;Time with Friends,3,6,9,3,5,5,8,2,0
Vivamus lo,testemail@qemailserver.com,Pratt,Junior,Native American or American Indian,None,Political Science,Education;Global Health,Digital Intelligence;East Asian Studies;Markets and Management,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MPA (Master of Public Administration);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Raleigh/Durham/Chapel Hill;Baltimore MD,Research and Development,Skill development in a specific field;Work-life balance and time management,Athletics/Playing Sports,5,2,10,6,4,5,3,7,0
Est fringi,testemail@qemailserver.com,Pratt,Junior,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,French Studies;Romance Studies;Undecided,Classical Civilization;Energy Engineering;Physics,Documentary Studies;Ethics and Society;Islamic Studies,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MPP (Masters of Public Policy);MHA (Master of Healthcare Administration);MPH (Master of Public Health);MM (Master in Management),Southern California;Denver CO,Energy and Utilities;International Relations,Academic success and study skills;Emotional support,Pets;Watching Sports,7,6,5,7,2,2,6,2,0
Fermentum ,testemail@qemailserver.com,Trinity,Junior,Native American or American Indian,None,Gender Sexuality and Feminist Studies;German;Theater Studies,Biology;Classical Archaeology;Environmental Sciences and Policy,Child Policy Research;East Asian Studies,None / Not listed;MD (Doctor of Medicine);JD (Juris Doctorate/Law);MFA (Master of Fine Arts);Psy.D (Doctor of Psychology);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MSW (Master of Social Work);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management),Raleigh/Durham/Chapel Hill;Washington DC,Healthcare;Journalism;Religion,Networking and professional connections;Academic success and study skills;Emotional support,Reading,6,4,4,5,4,10,8,9,0
Vestibulum,testemail@qemailserver.com,Trinity,Sophomore,Middle Eastern;Native American or American Indian;Other,None,Computational Media;Electrical and Computer Engineering;Visual and Media Studies,Asian and Middle Eastern Studies;Global Cultural Studies,Philosophy Politics and Economics;Robotics and Automation,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work),Charlotte NC;Richmond VA;India,Pharmaceutical;Dentistry,Skill development in a specific field,Reading;Visual Arts/Crafts;Time with Friends,5,1,10,9,8,4,2,8,0
Erat accus,testemail@qemailserver.com,Pratt,Sophomore,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,International Comparative Studies,Economics;Photography,Digital Intelligence;Policy Journalism and Media Studies;Robotics and Automation,MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);MS (Master of Science);Psy.D (Doctor of Psychology);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Denver CO,Food and beverage;Aerospace and Defense,Personal growth and self-improvement;Work-life balance and time management,Gardening;Traveling,6,4,1,4,7,6,3,7,0
Per; felis,testemail@qemailserver.com,Pratt,Sophomore,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,African and African American Studies;International Comparative Studies;Religious Studies,Dance;Latin;Physics,Decision Sciences;East Asian Studies;Philosophy Politics and Economics,MD (Doctor of Medicine);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Southern California,Veterinary Medicine,Emotional support,Movies/TV;Fishing/Hunting,4,8,2,1,3,3,7,2,0
Eget tempo,testemail@qemailserver.com,Pratt,Junior,Asian or Pacific islander;Native American or American Indian;Other;Prefer not to answer,None,German;Philosophy,Evolutionary Anthropology;Neuroscience;Sociology,Ethics and Society;Human Rights,None / Not listed;MBA (Masters of Business Administration);JD (Juris Doctorate/Law);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management),Boston MA;Pacific Northwest/Seattle,Non-Profit and Social Services;Religion,Networking and professional connections;Personal growth and self-improvement;Work-life balance and time management,Volunteering,9,7,4,7,6,1,1,5,0
Euismod. V,testemail@qemailserver.com,Pratt,Sophomore,Asian or Pacific islander;White;Other,None,Ancient Religion and Society;Linguistics;Russian,Visual and Media Studies,Documentary Studies;Markets and Management;Philosophy Politics and Economics,None / Not listed;MBA (Masters of Business Administration);MeD (Master of Education);MPP (Masters of Public Policy);MSW (Master of Social Work);MPA (Master of Public Administration),Chicago IL,Real estate;Aerospace and Defense;Architecture and Design,Skill development in a specific field;Academic success and study skills;Personal growth and self-improvement,Fashion;Fishing/Hunting,3,8,9,4,4,4,3,9,0
Suspendiss,testemail@qemailserver.com,Pratt,Senior,Hispanic or Latinx;Middle Eastern;White;Other;Prefer not to answer,None,Classical Languages;Neuroscience,Brazilian and Global Portuguese Studies;Religious Studies,None;East Asian Studies;Robotics and Automation,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Boston MA;Richmond VA;China,Finance / Investment / Banking;Pharmaceutical,Career exploration and decision-making;Networking and professional connections,Watching Sports,10,6,5,0,10,5,3,6,0
Diam! Ultr,testemail@qemailserver.com,Pratt,Junior,Asian or Pacific islander;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Prefer not to answer,None,Theater Studies;Visual and Media Studies,Asian American and Diaspora Studies,Human Rights;Science and the Public;Sustainability Engagement,PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MM (Master in Management),Northern California;Nashville TN;Denver CO,Hospitality and Tourism;Pharmaceutical;Dentistry,Emotional support,Volunteering;Music/Dance,4,10,8,7,6,7,8,7,0
Nunc venen,testemail@qemailserver.com,Trinity,Senior,Asian or Pacific islander;Black or African-American;Native American or American Indian,None,Civil Engineering;Italian and European Studies;Undecided,Russian and East European Literatures in Translation,None;Ethics and Society;Innovation and Entrepreneurship,MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MSW (Master of Social Work);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Richmond VA,Environmental Science;Military,Academic success and study skills;Emotional support,Traveling;Visual Arts/Crafts,0,6,0,1,4,7,5,8,0
Montes pla,testemail@qemailserver.com,Pratt,Sophomore,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Environmental Sciences;Russian,None;Neuroscience;Polish Culture and Language,Decision Sciences;Ethics and Society,MD (Doctor of Medicine);JD (Juris Doctorate/Law);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MPH (Master of Public Health);MM (Master in Management),Charlotte NC;Nashville TN,STEM,Career exploration and decision-making;Personal growth and self-improvement,Volunteering;Fishing/Hunting,8,6,5,7,3,10,8,7,0
Ab vehicul,testemail@qemailserver.com,Trinity,Senior,Black or African-American;Middle Eastern;White;Other;Prefer not to answer,None,African and African American Studies;Romance Studies;Statistical Science,Polish Culture and Language,Documentary Studies;Policy Journalism and Media Studies,MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Raleigh/Durham/Chapel Hill;Miami/Central Florida/Tampa Bay;UK,Journalism;Construction;STEM,Career exploration and decision-making,Fitness;Gardening,8,6,4,9,4,5,4,3,0
