Count,Name (First and Last),NetID,What is your email address?,Are you in Trinity or Pratt?,What year are you? For this pilot program; we invite sophomores; juniors and seniors to participate. Since Blue Devil Buddies serves as the mentorship program for first-years; freshmen are not eligible to participate at this time.,Gender,Which ethnic/racial identity(s) do you most identify with?,Identity,What is your intended major? Select up to three. (You can select multiple choices by holding down the CTRL or COMMAND key on your computer) (If you are doing Program II; select the option(s) that are most similar to what you are studying),Do you intend to complete any minors? Select up to three. (You can select multiple choices by holding down the CTRL or COMMAND key on your computer),Do you intend to complete any certificates? Select up to three. (You can select multiple choices by holding down the CTRL or COMMAND key on your computer),What graduate degrees do you hope to pursue; if any?,The following is a list of regions where there are larger concentrations of active; engaged Duke alumni. If you're interested to moving to any of these locations after graduation; select up to three. This can be useful for generating matches; but matches will not be made based on location alone. (Select up to three).,What industries are you considering starting a career in/want to learn more about? Select up to three. If the industry you're looking for isn't listed; choose the most similar option.,In which areas are you looking for guidance or support? (Select up to three),What are your other interests? Select up to three.,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Ethnicity / Race,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Hobbies / Interests,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Major / Academic Interest,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Graduate Degree Interest,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Industry,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Location,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - First Generation,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Areas for guidance / support,NumStudent
271,Rhoncus eg,271,testemail@qemailserver.com,Trinity,Senior,Male,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Art History;Chemistry,Polish Culture and Language,Islamic Studies,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),New York City/Tri-State area,Dentistry,Career exploration and decision-making,Gaming,2,6,5,6,5,6,2,8,0
272,Ab volutpa,272,testemail@qemailserver.com,Trinity,Junior,Female,Black or African-American;Middle Eastern;White;Other;Prefer not to answer,None,Environmental Sciences and Policy;Global Health;Public Policy Studies,Spanish Studies,Information Science and Information Studies;Jewish Studies,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MSW (Master of Social Work);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Washington DC;Houston/Dallas/Austin,Pharmaceutical;Aerospace and Defense,Career exploration and decision-making;Academic success and study skills,Fashion;Reading;Visual Arts/Crafts,2,2,6,9,9,3,9,5,0
273,Vulputate ,273,testemail@qemailserver.com,Trinity,Junior,Male,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;White;Other;Prefer not to answer,None,Biology;Classical Languages;Physics,Computational Media;French Studies;Statistical Science,Documentary Studies;Ethics and Society,MD (Doctor of Medicine);PhD (Doctor of Philosophy);MA (Master of Arts);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MPP (Masters of Public Policy);MPA (Master of Public Administration);MPH (Master of Public Health);DVM (Doctor of Veterinary Medicine),UK,Technology / Software / IT;Telecommunications;Agricultural and Food Science,Skill development in a specific field;Personal growth and self-improvement,Time with Friends,3,5,2,3,5,4,7,6,0
274,Duis euism,274,testemail@qemailserver.com,Trinity,Sophomore,Female,Black or African-American;Hispanic or Latinx;Native American or American Indian;White,None,Ancient Religion and Society;Brazilian and Global Portuguese Studies;Electrical and Computer Engineering,Asian and Middle Eastern Studies;English;Inequality Studies,Child Policy Research;Decision Sciences,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Philadelphia and mid/southern NJ;Chicago IL,Law / Legal Services;Politics / Government and public sector;Environmental Science,Skill development in a specific field;Work-life balance and time management;Emotional support,Volunteering,8,9,3,5,9,5,1,1,0
275,Ultrices a,275,testemail@qemailserver.com,Pratt,Junior,Male,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Native American or American Indian;White;Other;Prefer not to answer,None,Medieval and Renaissance Studies;Neuroscience,Electrical and Computer Engineering;Greek;Italian Studies,Energy and the Environment;Jewish Studies;Robotics and Automation,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),EU,Arts / Creative Industries;Food and beverage,Career exploration and decision-making;Personal growth and self-improvement;Emotional support,Outdoor Activities/Hiking/Camping;Traveling;Performing Arts,7,2,9,5,3,1,2,4,0
276,Ab; imperd,276,testemail@qemailserver.com,Pratt,Sophomore,Female,Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian,None,Art History;Global Health,Italian Studies;Latin;Polish Culture and Language,Digital Intelligence,None / Not listed;MBA (Masters of Business Administration);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MS (Master of Science);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MPP (Masters of Public Policy);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering),I don't know/Skip this question,Accounting;International Relations,Personal growth and self-improvement,Fashion;Music/Dance;Movies/TV,2,10,1,7,2,4,3,9,0
277,Sollicitud,277,testemail@qemailserver.com,Pratt,Junior,Male,Black or African-American,None,Gender Sexuality and Feminist Studies,French Studies;Sociology,Architectural Engineering;Documentary Studies;Philosophy Politics and Economics,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Northern California;Pacific Northwest/Seattle,Private Equity,Skill development in a specific field;Networking and professional connections;Emotional support,Pets;Reading;Movies/TV,2,6,3,1,4,7,8,4,0
278,Elementum!,278,testemail@qemailserver.com,Pratt,Senior,Female,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Prefer not to answer,None,Economics;Music,African and African American Studies;English;Evolutionary Anthropology,Global Development Engineering;Islamic Studies,None / Not listed;JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);Psy.D (Doctor of Psychology);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Pacific Northwest/Seattle;Houston/Dallas/Austin;Denver CO,Dentistry,Skill development in a specific field;Academic success and study skills;Emotional support,Traveling;Volunteering;Time with Friends,4,1,3,2,4,0,7,4,0
279,Etiam lect,279,testemail@qemailserver.com,Trinity,Sophomore,Male,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;Other;Prefer not to answer,None,Dance,Asian and Middle Eastern Studies;Evolutionary Anthropology,Latinx Studies in the Global South,MBA (Masters of Business Administration),Richmond VA,Consulting and professional services;Journalism;Manufacturing and engineering,Career exploration and decision-making;Skill development in a specific field,Fitness;Athletics/Playing Sports,9,5,1,7,8,7,4,7,0
280,Ridiculus ,280,testemail@qemailserver.com,Trinity,Sophomore,Female,Black or African-American;Hispanic or Latinx;Middle Eastern;Other,None,Linguistics and Computer Science,German,Decision Sciences;Innovation and Entrepreneurship,MSW (Master of Social Work);DVM (Doctor of Veterinary Medicine),Nashville TN,Healthcare;Politics / Government and public sector;Agricultural and Food Science,Work-life balance and time management;Emotional support,Cooking/Baking;Reading;Performing Arts,1,1,3,5,4,7,6,10,0
281,Ab. Ligula,281,testemail@qemailserver.com,Pratt,Junior,Male,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;Other;Prefer not to answer,None,Earth and Climate Sciences;Italian and European Studies,Finance;Global Health;Visual Arts,East Asian Studies;Latin American Studies,MBA (Masters of Business Administration);MFA (Master of Fine Arts);MPP (Masters of Public Policy);MHA (Master of Healthcare Administration);MM (Master in Management),Northern California;Boston MA;Denver CO,Journalism;Venture Capital,Networking and professional connections;Academic success and study skills,Gardening;Outdoor Activities/Hiking/Camping,9,5,5,0,8,2,3,6,0
282,Magna dict,282,testemail@qemailserver.com,Trinity,Sophomore,Female,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Mathematics;Music,Music;Photography,Digital Intelligence;East Asian Studies;Policy Journalism and Media Studies,MD (Doctor of Medicine);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MPA (Master of Public Administration);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Baltimore MD;EU,Pharmaceutical;International Relations,Career exploration and decision-making,Gaming;Time with Friends;Fishing/Hunting,5,1,8,1,10,9,9,1,0
283,Iaculis? R,283,testemail@qemailserver.com,Trinity,Junior,Male,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Biomedical Engineering;Evolutionary Anthropology,Italian Studies,Energy and the Environment,MBA (Masters of Business Administration),Raleigh/Durham/Chapel Hill;Northern California;Denver CO,Education;Telecommunications,Skill development in a specific field;Networking and professional connections;Work-life balance and time management,Time with Friends,0,6,4,9,4,4,4,9,0
284,Duis. Faci,284,testemail@qemailserver.com,Pratt,Junior,Female,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Prefer not to answer,None,Slavic and Eurasian Studies,Classical Archaeology;Music,Architectural Engineering;Digital Intelligence,MBA (Masters of Business Administration);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MSW (Master of Social Work);MPH (Master of Public Health),Northern California;Southern California,Arts / Creative Industries;Food and beverage;Telecommunications,Skill development in a specific field;Personal growth and self-improvement;Work-life balance and time management,Fashion;Reading;Music/Dance,6,4,2,5,1,2,4,0,0
285,Ab lorem t,285,testemail@qemailserver.com,Pratt,Sophomore,Male,Asian or Pacific islander;Middle Eastern,None,Linguistics and Computer Science;Psychology,Inequality Studies,Documentary Studies;East Asian Studies;Policy Journalism and Media Studies,MD (Doctor of Medicine);MS (Master of Science);Psy.D (Doctor of Psychology);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Houston/Dallas/Austin,Telecommunications,Academic success and study skills;Personal growth and self-improvement,Cooking/Baking;Performing Arts,5,9,1,4,1,1,3,8,0
286,Suspendiss,286,testemail@qemailserver.com,Trinity,Sophomore,Female,White;Other,None,Asian and Middle Eastern Studies;Brazilian and Global Portuguese Studies,Philosophy;Sociology,Ethics and Society;Health Policy,None / Not listed;MD (Doctor of Medicine);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);MeD (Master of Education);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MPH (Master of Public Health);MM (Master in Management);DVM (Doctor of Veterinary Medicine),Northern California;Baltimore MD;Richmond VA,Technology / Software / IT,Career exploration and decision-making,Family Time;Volunteering;Time with Friends,1,6,5,8,4,2,9,8,0
287,Lorem aene,287,testemail@qemailserver.com,Trinity,Sophomore,Male,Black or African-American;Native American or American Indian,None,Visual Arts,Finance;Statistical Science,None;Science and the Public,MD (Doctor of Medicine);JD (Juris Doctorate/Law);MA (Master of Arts);MeD (Master of Education);MEM (Master of Engineering Management);MPP (Masters of Public Policy);MEng (Master of Engineering),Boston MA;India,Consulting and professional services;Research and Development;Architecture and Design,Networking and professional connections,Fashion,5,9,6,9,10,9,10,4,0
288,Laoreet mo,288,testemail@qemailserver.com,Trinity,Junior,Female,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Economics;Linguistics and Computer Science,Evolutionary Anthropology,Architectural Engineering;Materials Science and Engineering,None / Not listed;PhD (Doctor of Philosophy);Psy.D (Doctor of Psychology);MSW (Master of Social Work);MPA (Master of Public Administration),Chicago IL;Houston/Dallas/Austin;EU,Journalism;Retail and e-commerce;Biotechnology,Networking and professional connections,Pets;Performing Arts,9,6,8,8,7,2,7,1,0
289,Platea imp,289,testemail@qemailserver.com,Trinity,Junior,Male,Asian or Pacific islander;Hispanic or Latinx;Middle Eastern,None,English;Evolutionary Anthropology;Slavic and Eurasian Studies,Brazilian and Global Portuguese Studies;Dance;Finance,Architectural Engineering;Decision Sciences;Information Science and Information Studies,MHA (Master of Healthcare Administration);DVM (Doctor of Veterinary Medicine),Northern California;Atlanta GA,Technology / Software / IT;Biotechnology,Personal growth and self-improvement;Work-life balance and time management,Performing Arts,7,8,1,0,8,8,9,8,0
290,Mi! Duis r,290,testemail@qemailserver.com,Pratt,Sophomore,Female,Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Classical Languages;Italian and European Studies,Evolutionary Anthropology;History;Medical Sociology,None;Ethics and Society,MBA (Masters of Business Administration);MFA (Master of Fine Arts);Psy.D (Doctor of Psychology);MPP (Masters of Public Policy);MPH (Master of Public Health);MEng (Master of Engineering),Raleigh/Durham/Chapel Hill;Chicago IL;India,Marketing / Advertising;Transportation and logistics,Academic success and study skills;Emotional support,Cooking/Baking;Gardening;Outdoor Activities/Hiking/Camping,6,3,6,2,3,10,4,8,0
291,Elementum ,291,testemail@qemailserver.com,Pratt,Junior,Male,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Global Cultural Studies;Linguistics;Theater Studies,Philosophy;Statistical Science,Science and the Public,None / Not listed;MBA (Masters of Business Administration);PhD (Doctor of Philosophy);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MHA (Master of Healthcare Administration);MPH (Master of Public Health);MM (Master in Management);DVM (Doctor of Veterinary Medicine),Boston MA;Houston/Dallas/Austin,Nursing;Agricultural and Food Science;Veterinary Medicine,Skill development in a specific field;Networking and professional connections;Personal growth and self-improvement,Traveling,5,6,2,3,3,7,4,1,0
